Area (sq. ft.),Labor Cost (₹),Material Type,Pipes (₹),Lights (₹),Fans (₹),Steel (₹),Bricks (₹),Total Cost (₹)
1417,123110,1,7813,5085,3222,163124,40906,2751314
2202,107320,1,6134,10060,8725,99084,56382,3216079
2165,104732,0,12753,13981,3838,87120,93791,3965530
4733,102290,1,11219,13457,7883,75370,83480,7909702
2611,142163,1,19547,13032,3038,140696,95009,4756230
4214,123240,1,6976,12152,4794,106283,53066,5022190
3054,82286,1,14448,2246,3770,139931,32031,3812708
3524,77441,0,15426,13838,5974,90255,34393,6632165
4535,89155,1,18586,10623,6334,96640,84624,6896775
3336,124932,0,19645,2566,5432,167455,26229,4400423
2897,112734,1,8013,10672,8530,138944,88095,3632469
2694,38723,1,9983,14545,8105,186134,27926,3787678
2055,129062,0,17498,10726,3704,98290,45494,2966402
4125,79157,0,11494,8251,7677,68360,70585,8425251
3409,137080,0,10920,6271,8587,53663,20746,6491094
843,92058,1,7369,2468,6750,173561,72468,1363813
2044,66444,1,5206,5958,7203,68887,40701,3868230
4496,113454,0,17170,4574,7866,192063,66502,7433059
3318,141388,1,14305,6247,4210,143957,92223,4578411
538,80636,1,19993,7395,9401,80051,81355,1318489
4882,124563,0,9160,9205,3763,172743,89630,5438396
3923,32266,0,11559,12520,3351,122814,32363,7007667
1528,97950,0,6022,3621,8626,64626,59627,3136472
735,141480,1,19211,4995,3275,167008,61261,1880950
1468,145248,0,12765,3970,6555,91646,69258,2931238
1730,116379,0,18603,10622,3282,116291,78573,3690834
738,129622,1,7524,14285,6667,52056,53162,1623323
2354,32552,0,19330,13855,5834,130960,84097,4257185
551,92751,1,14656,6415,4718,157659,94406,1036037
2655,118240,0,13561,13434,3318,195744,93475,3555241
1880,133722,0,15912,4118,3724,169456,30914,3706931
1556,76363,1,15893,3111,7563,82383,65556,3458983
521,49244,0,9527,14257,4668,63589,85541,1122910
806,135024,0,15478,14344,7470,135337,60001,1640996
4606,127073,0,9388,4214,6987,129245,20978,5748714
3109,63845,1,11380,6726,6787,60747,97918,6403462
4793,90210,1,11788,2796,8743,110150,60116,8290972
4100,117359,0,6841,5307,6260,52197,22770,6315791
2465,32526,1,17988,4969,6261,85805,60904,4896772
4078,144205,1,10845,11613,8193,145679,26162,8412181
3043,62501,1,13516,8463,4524,104182,29149,4494850
1004,63489,1,13036,7934,4726,86102,79515,1876650
636,137740,0,11565,6627,7245,163912,44839,1081132
1802,35801,0,9525,6102,8925,139736,22424,3754171
4514,52437,0,9449,11937,6163,134881,41595,5315192
4114,92806,0,14870,14266,9795,96494,75657,8239908
1006,127493,1,14711,12697,9758,113293,59752,1635885
2033,96881,0,9388,10429,7809,83012,60718,4148776
4141,30745,0,7842,10029,3239,140453,39992,6246300
4503,43326,0,15863,4498,3610,87342,72736,7396446
1207,38124,0,14472,7233,4839,171762,22506,1508929
2123,35599,0,10532,14779,7331,159310,88057,3275891
4737,129181,0,9476,10640,3228,55020,90816,7372565
2828,120245,1,10319,5229,8008,69540,57730,3225735
3514,67581,1,5224,11196,3755,62340,86541,6172887
2207,106152,0,14094,10001,9874,162189,22458,4383210
801,37764,0,19108,7518,3307,151436,20723,1060704
2944,70077,0,9766,2638,4308,95910,92057,4668780
817,40891,1,10413,12442,6289,136439,41459,1192491
3455,39654,1,19855,9903,4352,138043,74486,6858523
3427,80499,0,13798,4629,6250,63393,28654,4175338
1357,59817,0,17730,13099,9270,87434,65438,1689206
3220,94811,1,17469,14407,9091,116304,31041,6364910
3522,129668,0,16763,10120,6306,190786,74663,5515862
1176,95488,0,13633,6760,3921,69627,68083,1545712
878,79116,1,7655,3558,8344,121737,90149,1857431
716,45538,1,10401,12863,3735,93189,57051,1543986
4200,55807,1,18231,9817,6402,160287,56016,6993565
3396,44289,0,17554,4960,7124,74456,48798,4721089
3489,99797,1,16798,4227,9330,55912,31155,5287250
4330,119128,1,7977,14918,8895,128757,46025,8890160
4156,123817,0,5800,14929,6864,165096,96524,6789837
2006,99618,1,7512,2952,8843,120117,34328,3175870
1790,47963,1,5992,11727,5196,119638,63376,3411555
2439,125306,1,18697,2492,7099,190623,40054,3109018
735,117519,0,19843,3616,6363,52677,87389,1235724
2283,98955,0,11256,9880,5730,112458,82183,3120499
4695,126527,1,12484,4990,6804,135948,81356,8356195
3286,48401,0,15371,5398,7178,126800,53682,5527287
1877,115937,0,14116,12636,4177,61667,29095,3540090
3255,33037,0,7025,5583,4827,188992,22711,4906319
2583,44501,1,6774,10981,8080,104713,48687,3356032
4909,47145,0,18162,8065,3918,61994,78360,6024144
4595,141701,0,15342,11321,6045,107280,40893,9017494
3200,74932,0,9777,14155,3475,199104,46324,3787428
4604,77948,1,16218,4381,6752,144090,61298,7750014
4049,108374,0,8256,14946,3330,150213,95930,5368093
4652,112518,0,19257,11589,3348,81382,53259,5930173
2830,89546,0,15305,13738,9059,115246,60997,3412384
4261,99279,0,7182,4499,3467,101095,96978,8746217
2511,93039,1,9152,6279,9920,187340,49327,3119190
3141,61966,0,18613,13351,4751,90768,74317,3868853
2612,71376,1,13981,8847,3686,65257,38942,3867907
4000,139929,0,10002,14868,7264,184675,59025,6238952
4731,148105,1,11048,8483,4721,59717,33744,9595049
1509,143809,0,5693,14909,4777,189948,29615,2262609
2129,142331,1,14875,7991,6257,60551,52010,4047977
3619,36210,1,12940,14459,9874,62610,79801,6310364
1349,147252,1,17099,12617,4381,137973,42479,2508901
3367,129386,0,12181,12416,8441,76338,91694,4593282
2539,96123,1,7946,6706,3253,166778,45785,3363291
3735,59443,0,19961,12275,7256,177365,43569,4714173
978,106535,1,17753,3476,7941,138592,39652,1730331
1810,86335,0,6023,2224,3026,148526,35169,2339495
2643,66426,0,14657,12232,9449,196828,43837,5625677
913,95379,1,13218,8999,5618,175103,75454,1793801
2156,45845,0,5771,13169,5403,114805,23736,3526791
3131,93352,0,10503,3316,3986,112562,37770,5322616
4436,105951,1,13130,5544,4613,65590,53630,5652956
1894,75377,0,11463,13556,6534,58000,35826,3007197
3123,51964,0,9314,7973,4178,159419,54806,3607060
2790,40375,0,8803,4796,5746,109185,52737,5715618
1138,77531,1,6877,9428,3695,181596,38641,2093843
3944,111684,0,6193,3671,8621,170962,48646,4410764
852,35913,1,14628,4813,7423,119843,80351,1725382
3648,138517,1,6615,8964,9612,65387,22543,4364855
4088,116946,1,7466,6462,8793,97021,86464,7740592
639,59351,1,17050,7402,6376,52696,74252,1565321
751,73329,0,8187,3506,4755,55516,22178,1606807
1168,121471,0,11749,2832,7823,158197,52099,2021822
4342,79932,0,6998,7830,3656,141968,80249,7756671
816,88880,0,19404,11215,7473,94333,98683,1263124
4518,62938,0,10406,3410,4272,68304,60223,5069547
3426,133323,1,12774,3212,5419,136377,95846,6725871
2509,50608,1,16208,8633,9911,126976,49727,4615239
3445,81879,1,7508,14279,9469,132450,93896,7009305
1552,142033,0,6002,8193,7005,132429,73128,3340230
4063,91836,1,5148,4248,7562,57590,58672,5799056
1623,97644,0,6901,10366,4024,126989,43561,2429650
1843,111012,0,10854,12381,9821,95608,51578,2948677
1069,93297,0,15432,5346,5585,143854,88440,2132568
4221,105386,1,16496,4237,4731,173489,67230,4713628
4416,39987,1,6740,9301,9424,136635,69680,7148610
1500,69384,1,9257,10070,8996,50311,23705,1801319
3423,131089,1,11076,3636,3627,138385,59118,5412588
2736,128700,1,18859,11049,5544,91510,69258,3386034
4425,120915,0,8023,13020,9201,160539,64794,7289301
3752,136335,1,10577,9981,9572,107065,71013,5375700
3892,49388,1,17840,3568,9165,83648,26867,6046410
2830,41961,1,19497,3651,8551,179556,58722,5952212
3892,136068,0,19488,13360,3268,148908,34683,5574825
3117,104382,1,17608,4376,7054,53047,93858,5739331
4620,103180,1,13571,13982,5656,62841,60932,8136983
4855,94089,0,16002,13204,4432,95095,82748,9379212
2513,72836,1,10819,9668,3054,57269,74150,3681171
2427,54843,0,12605,9708,9042,52924,87179,2789400
3044,142715,0,13056,3396,6895,196349,75939,6436949
4219,31092,1,15005,5582,9711,196314,29393,6134882
4173,72428,1,5700,4822,6632,181335,86324,5438718
2051,105049,1,14341,12334,5457,175998,37624,4376624
2182,146185,0,11895,4529,4392,184004,24488,2973405
884,70095,1,12873,12250,7585,58877,51691,1664791
3536,67761,0,10319,11769,5163,182355,42539,6527357
2766,33079,0,10344,7586,4793,93435,87895,5025119
4945,72468,1,5580,2430,9227,102752,90148,5473309
889,137317,1,14737,5585,5341,136353,56316,1524615
3418,42167,0,17226,8147,6017,127895,70970,6727292
2613,32135,1,10898,6432,3466,150868,50896,4413156
1642,145852,0,6269,14662,9010,151410,94998,3192617
1245,125772,1,19301,11310,5512,99813,31360,2138921
2230,147260,1,13603,9614,7203,78015,72381,4319878
4622,51305,1,14988,6125,3564,91076,63873,6289129
4885,149358,1,10643,11089,6499,51978,32672,6380709
4623,76422,0,15795,11033,5430,61073,95218,9497620
3730,96222,0,11764,12459,5838,124403,86550,4655277
3716,39166,0,17636,8271,8659,171410,58573,7666448
3014,137001,0,12257,13434,8466,129899,32598,6140156
2269,146458,0,10084,3887,7255,97339,71792,4227414
607,144262,0,15012,10416,9373,57126,93833,1290279
2986,111993,1,6485,5345,9675,54552,38974,3326549
4798,84053,1,14507,2407,5437,169762,79455,8301722
1276,46964,0,8362,8820,4794,111846,96060,2538442
2433,57716,0,17656,4205,6074,141629,75526,4518892
937,120334,0,18575,14996,8910,62488,97738,1421265
1534,42199,0,6295,8550,9472,194964,71382,2702176
1336,47280,0,19404,14317,7128,169015,70077,2398285
1141,32433,0,7191,3192,5979,163494,96320,2194547
3674,66720,1,19391,13058,3831,111024,89897,7130812
2308,102988,1,14768,4391,9539,161508,52576,4365286
4375,32169,0,12244,3422,9845,165567,74811,5291270
1142,76854,0,17807,14471,3281,127644,21376,1425166
1202,146152,1,14525,8655,9948,113279,40966,1799700
3348,63590,1,11233,5273,6247,53944,25994,3749144
3417,56787,1,15615,14908,6657,174619,72104,5350144
4112,107062,1,13068,14608,6627,157614,55481,5733253
2222,32139,1,16016,12241,3138,88961,92467,2583204
1348,58425,0,8045,4042,9098,147982,26815,1710621
3054,138879,1,8265,5659,7548,113297,60565,4702308
1962,149369,1,10702,13355,4250,89459,96781,4269728
4329,143574,1,10917,7728,9747,65843,65671,9038963
4282,71273,1,19672,11385,5397,187825,89949,4982116
1010,98185,1,19841,4818,3530,73726,68750,2217735
2656,138385,1,11251,11520,4733,122312,69893,4389658
3419,84241,1,11750,12834,4335,138113,90411,5984026
1232,148567,1,5510,6177,6702,125272,23144,2270726
3450,69821,1,7368,3316,3108,188827,85329,7097317
4460,31489,1,6499,14510,3722,150797,50202,6951261
1737,129968,1,11429,8918,3498,96086,68339,2447007
1980,144064,0,11958,2878,5104,184389,70783,3943285
2965,73568,1,12518,11253,4118,69954,52644,4812396
2510,95109,1,5855,8585,7729,54610,47603,3123334
3235,65300,0,6950,5204,4515,154078,65176,5029473
4699,47039,1,9027,2594,8898,66978,22404,8186008
3259,99254,1,8316,12267,9078,160448,64291,4676789
1077,115902,1,13778,6280,9397,96414,98493,2499459
3996,81826,0,5361,2667,9992,193973,70105,7756356
1318,102980,0,10455,6644,5192,122906,64981,2379643
4674,101745,0,14864,2216,5830,193757,40292,5286839
2389,103402,1,19557,8007,8061,181075,89195,4291715
1058,66783,0,18003,6703,6517,199383,30344,1825442
3433,52360,1,19773,11464,9311,181028,77546,6370209
2119,79352,0,14198,14982,9282,152723,60493,3015868
569,36611,1,9668,8756,5425,119155,21830,1215124
1689,59105,0,19783,12979,3268,151453,44770,2916802
3402,103865,0,17239,10157,3336,193042,21638,5543622
4840,74023,1,19176,14759,8147,88392,99528,5805036
3616,129379,1,8333,11553,6824,194403,62976,5900893
1183,146436,1,9396,6480,9609,70295,53443,2230045
4410,64243,1,10068,14290,8275,160335,55714,8913895
4272,59853,1,7596,6192,6510,56198,58341,6535501
570,135249,0,10090,10788,8923,74192,72293,1246258
1762,133261,1,18291,5981,6824,171400,65751,3266519
2655,74373,1,15073,4798,4191,148643,59530,3579984
4897,115824,1,12401,6783,7326,138077,39596,6220059
1871,109163,0,16464,6738,9746,83842,47568,3527934
2415,58807,1,9709,5578,8351,68278,82202,4011124
4305,139642,0,18421,6784,3352,89916,70114,8490650
4851,30448,1,9066,14900,5561,54153,90123,9560712
2047,30068,1,8992,7559,3204,157896,63822,3026655
4398,119016,1,15801,3752,6329,176070,81007,5346490
4955,34908,0,17795,2699,4786,150218,57911,6928236
4055,123744,1,14082,5317,5431,77478,93016,4745910
1713,37369,1,11982,2352,6428,126335,83127,3418882
2640,141606,0,19312,9165,5372,57783,88837,3347994
1360,145878,1,13046,10062,5117,153111,93022,3058484
1489,64508,0,7846,12033,3561,147719,49842,2392931
3423,123844,1,6695,10668,4887,155462,34936,4813152
1932,56595,1,18170,11618,7271,86937,69088,3250613
840,147880,0,14007,6090,9654,175959,25319,1727503
2877,66660,1,12378,8809,3720,134034,81251,5302192
1698,109788,1,5498,13320,3392,153648,53015,2710894
1967,75432,1,6680,8134,3244,177389,93712,4365094
4796,88858,0,16452,12661,6193,126582,63627,7135662
4693,134347,1,12352,3069,6239,83790,29919,8978875
1791,80228,1,14528,2861,8031,57252,72976,2189323
851,79160,0,17741,2085,3129,167989,93191,1876341
1801,123164,1,18272,8890,9728,164188,63616,3281818
4139,61050,1,5248,13651,6973,65809,36100,7075241
3587,128554,1,14888,4641,4682,121950,48425,5347656
955,130700,0,5658,14465,7704,122977,68791,1825617
3750,128427,1,9770,12053,6090,122772,49923,7674861
1657,42921,1,5688,13356,7768,53417,91298,2611110
757,91638,0,13159,8020,9004,55543,55374,1069802
2609,104556,0,15469,13973,7599,94436,66679,4791529
981,121546,0,6699,11441,7844,141498,52463,1818056
3613,78507,1,5223,7265,4852,73303,78719,5496182
1896,59589,0,6759,9421,5589,167427,33239,3652767
3126,135976,1,8815,9689,8236,113389,93551,5353020
1147,141710,1,5053,8785,4937,53243,98129,2283050
2111,64845,0,18347,14754,7993,121236,44335,4337456
4325,112515,1,10684,8106,9146,100535,62243,4981289
2768,131390,0,5699,8588,3901,122445,56336,3822632
4384,57278,0,11625,11077,4356,161603,41527,8609268
3254,53348,0,5585,7525,4363,161229,32526,6098112
4086,130048,0,8371,5977,9303,188530,97617,5296459
3884,62790,1,9384,5386,3894,112437,90999,4925745
1258,87669,1,6451,6075,7923,113797,44575,2662511
1132,34972,1,5310,12330,6486,98433,57023,2072395
4084,46015,0,7505,13659,6644,108869,72302,7852621
829,120074,0,18867,10254,9210,143572,41973,1933710
3519,127366,1,19386,14302,4973,143298,63322,4236369
509,94704,0,18820,3777,4118,193716,89089,1406841
4553,110556,1,6122,6030,4742,132272,47147,8221973
2674,95798,0,5341,13254,9723,91632,84272,5205381
1484,74460,0,17850,12088,7336,88038,55433,2674620
1168,45142,1,14174,12972,6088,93961,61857,1858622
2778,92823,1,16910,5205,5796,178198,33734,4875884
941,64353,1,16988,2815,8946,153391,67557,1840484
3425,79584,0,14600,11742,5462,59096,49490,6837329
4520,71519,1,13648,13804,5268,59487,71446,7363909
773,89899,1,10423,8856,7810,106776,48984,1167310
1526,42336,0,19206,8031,9844,159290,73036,2884724
2873,118231,0,14841,13705,8159,197995,40508,3411641
4848,89046,0,11894,13863,9833,89318,87662,9726131
2057,48872,0,11995,4209,4543,117211,98561,3343312
3626,75649,0,6710,5069,5239,167289,47140,7443091
3433,84846,1,6582,10618,3424,75608,51545,3854416
947,75283,0,19601,10215,5503,191643,45441,1799294
3868,117991,1,11169,7093,5858,98328,58844,5142248
4193,46597,0,18361,7221,6296,76275,40553,7074931
4306,105393,0,18230,3304,6801,172336,21144,6778501
4496,86175,0,11784,13688,4537,199048,57428,7413957
3817,78281,0,13556,12868,6387,189404,41842,5532086
569,136225,1,19142,5947,4200,109148,90164,1063154
3077,99014,1,6168,9933,4294,58371,84292,3765531
3556,111784,1,13336,6394,9140,152032,97661,7099388
616,65565,0,11310,5078,7988,191825,34181,1364854
2313,88385,1,6066,9098,9749,163819,22275,4492008
1403,141058,1,5971,9706,3433,134953,97982,2068208
993,65159,1,14768,10739,5795,124648,45777,1408782
4358,51749,1,12182,8120,4965,149547,28490,4788343
3183,137579,1,17416,7522,8633,166958,69680,5351723
4675,134065,0,9153,12510,9868,116539,32109,7330938
4230,108685,0,17341,12309,3668,91882,64741,4996667
2040,37216,0,14439,9352,4913,67906,88317,2969252
1125,57301,0,16978,4275,9223,129211,68786,2007265
4879,130254,1,13324,9236,7466,56178,41425,8534183
1337,85975,1,16837,2196,4118,87216,21946,2738256
2515,76332,1,6266,11729,8308,104272,72775,4507774
2515,30847,1,5209,11322,7960,97008,33918,2876730
3579,51886,0,9337,9313,7217,193915,71676,6019964
571,34671,1,11526,5231,7929,151092,38112,969764
3952,71504,1,16473,2368,6115,102398,85313,6568695
4378,34153,1,11358,5228,5307,189982,74706,6444806
563,81263,1,16507,11008,5854,156204,33153,1128197
529,92338,0,18382,3491,9960,81208,26127,1015333
4471,146860,1,14005,13730,9404,62884,47105,6570577
2825,89452,0,12257,9027,7033,178045,54172,5520500
4872,104107,0,8520,2719,7652,157281,62688,6318438
3379,76033,1,12323,4762,4287,154335,80224,4272903
2688,60456,0,8449,13579,4841,162604,43697,5231426
3281,39353,0,7131,6734,7643,115242,27646,4283373
4621,95601,1,14640,10987,4861,60938,57564,5114554
2645,84450,1,11127,12581,5984,157956,87711,4128379
775,44301,0,19998,4202,8129,138507,93468,1718364
1766,112717,1,6695,5207,3803,121790,56049,2934943
4473,40008,1,6509,4503,4859,52824,51759,6836154
4604,35290,0,15150,7782,7198,138859,72032,5097607
3443,61474,0,11225,8175,5957,120209,58891,6157076
3480,96167,0,11944,7134,9987,127524,20893,4949751
2819,88711,1,15328,3882,8230,155802,42719,5287646
531,58351,0,11303,12367,9928,89775,94013,1024962
1351,66026,1,16247,11594,7628,185445,20744,2470516
1104,135405,0,19705,3987,3500,183666,69755,2170810
3699,87570,0,11705,10287,4228,116206,99705,4756999
2564,135737,0,9274,2814,3096,71818,22006,3562597
4044,103919,0,6228,4660,7917,151001,30889,6716654
2848,65567,1,14746,11333,9540,68279,27798,5488997
2307,117645,0,15754,4569,6884,137075,81292,4888268
4359,31149,1,9211,13380,6638,138110,56933,6999277
4637,49387,1,8418,13611,7657,141065,82236,5382106
2698,66313,1,7448,9347,5543,82491,42549,5591015
4372,140935,0,9394,14511,4387,55728,96173,6532729
4062,30019,1,9764,7343,7007,165094,87883,4885382
3698,58276,1,19064,12487,5304,127262,26206,7641802
2392,89750,0,17797,9421,7300,129662,92369,3409288
4939,136928,0,16371,6018,4365,59962,39449,8446215
3669,96535,0,8883,2974,5546,103977,50332,4466020
3447,147346,0,11195,3861,9092,193759,60764,6353350
4623,98070,1,6007,2648,3191,141913,94771,9583098
3600,124074,0,18664,10933,4826,182259,29162,7516122
4421,34425,0,13731,3576,8243,50169,94177,5183291
4807,113610,0,13403,4599,9336,146350,81784,8871255
4188,135778,0,10228,6879,9381,100479,56494,7289286
571,101864,0,13097,3787,8367,113283,73238,1342275
2657,104062,1,19287,13288,8940,122102,66724,3976738
1636,98089,1,9070,2137,3224,120647,71470,2697894
4827,114430,0,8893,4056,3772,177108,75257,6860443
4577,134356,0,11913,3831,4245,93638,80426,8413755
542,69906,1,6393,10760,6012,146220,45980,1365805
4860,40242,0,15971,6726,5666,125171,25477,6290857
2331,139212,1,15768,7894,4624,124662,96278,4154608
545,44275,1,14455,6266,6474,145456,20330,950908
4141,89566,1,8473,11075,4995,64901,89622,4564140
2175,146559,1,14204,6607,7152,114303,24920,3915655
3852,146292,0,19107,12111,3519,106352,28511,7404352
1769,105284,0,5795,14207,6529,152817,93928,3751252
4483,69911,0,6203,9678,4425,54636,66568,7475500
4463,73305,0,8343,6470,3872,125458,55744,8345381
3523,40357,0,10024,3895,9538,185774,68522,5265242
3290,55364,1,17372,10395,3957,67895,20316,6445158
3670,79793,1,10892,6152,7253,82382,83927,6883612
1512,144372,0,8372,2656,9270,105878,94775,2343817
4007,86454,1,5420,11240,6588,143938,62688,6816375
2571,102906,1,7257,5462,6031,132780,76581,3133803
2505,115026,1,11079,5126,3236,62276,40555,3209498
2817,126285,1,5061,5024,7428,57410,86496,5871424
2675,147677,0,9100,13807,7720,92410,56084,3027890
2286,51302,0,9591,5743,6226,143044,99841,3066341
3629,40496,1,8178,13161,4567,134056,65757,4498951
2872,78508,1,6546,2071,3909,157730,58227,5285854
1960,73189,0,10973,7653,4960,73084,47915,2384934
1964,34303,0,14942,2749,9261,64624,30719,2160131
3541,71838,0,13922,2952,8441,92564,36352,7061931
1558,140208,0,12554,8279,6587,137010,93211,3315608
1471,70510,1,13370,6612,6338,165934,74054,2435096
2890,78566,1,10609,6122,4385,54931,65717,3500844
3499,81541,1,19139,6179,9628,191553,28174,6308243
3004,64380,0,12233,8026,3815,88081,25325,5858740
1398,91817,1,19008,12787,8349,55643,23587,3071754
2313,124618,0,13720,7171,5468,81640,39484,2886077
2002,140974,1,6410,2073,8516,193767,32334,3687695
842,119552,1,19722,14777,6784,69064,86150,1620572
4360,33464,0,15791,13718,3809,65576,25558,5201347
3851,53364,0,13527,13511,9554,164303,61973,7278438
3360,120682,1,15827,4059,3321,199163,44496,6475709
1748,39366,1,9853,13830,7398,91144,69560,3765356
1708,84891,1,14266,11551,3843,182369,30924,2281935
4890,51610,0,17928,3277,5571,65922,96935,6299341
2639,84410,0,11450,12910,9594,181868,72608,5195811
2110,79431,0,18008,6698,9681,108443,37861,3204472
2479,36215,0,5210,11193,3410,194574,22405,3931848
3297,130974,1,14859,3127,6570,61843,80059,5710630
1056,57128,0,6454,2602,9252,143685,69249,1775697
4494,117777,1,10030,8458,8246,88777,21985,5008347
4904,45285,0,9144,12087,9901,177305,83125,8202789
4186,146841,1,5440,14355,3823,53989,52662,5521170
1652,37668,0,19581,3524,5500,183752,37779,3540378
4244,69070,1,11120,7291,9314,179176,57698,7607411
4121,68037,0,13742,11898,9005,152516,63180,7903713
3859,116029,1,13643,3166,5809,146976,76655,8004313
1472,64820,0,16408,3932,5386,159771,62536,1878069
4407,98602,1,13846,11952,4875,138805,94333,5524700
4228,41902,0,17534,6292,7154,79615,44722,7841541
3911,94849,0,11504,10856,9102,146370,44875,7688976
3566,93698,1,5667,13928,7602,69762,90681,3964735
1791,93814,1,11159,8333,6339,116384,33967,3853893
4813,104585,0,15629,14299,5527,100844,39349,7280155
3360,41992,0,19683,2962,3668,187014,25765,5195509
663,108289,0,15192,11244,6588,125689,88548,1601156
4419,119166,0,9376,11180,6071,164029,84663,6092930
2214,70540,0,8622,8698,9591,194205,63469,3860974
3962,109597,0,9240,2087,5930,88134,26311,5527357
1940,92185,0,19381,6951,8674,118027,53143,2458656
2595,44512,1,7510,10664,4601,118722,94633,3906153
1300,68654,1,13051,14398,8253,194422,49342,1973062
3265,56432,1,18108,4468,3212,124991,68306,5341514
3160,42419,1,6393,8212,5146,98575,82901,5177795
2190,71736,0,12474,6874,6342,80614,63828,3389570
733,111187,0,12569,5495,9801,63490,36019,1098966
2376,58338,0,11637,10042,4072,109730,93596,2945522
1461,53929,0,6555,2246,5222,197359,26648,1905805
3870,89807,0,8414,4878,8633,120195,61615,4597619
1545,108167,0,11276,12261,7996,98483,57162,2295931
4981,82600,1,12679,8131,7900,137316,23338,5362250
4959,126740,0,8389,6494,9632,90615,32207,5541806
1907,70081,0,6894,5976,4029,144730,54422,3090269
707,129859,0,17555,11713,5601,97630,37831,1136351
4870,117609,0,11736,2325,7090,119456,60850,6471721
2252,82519,0,11813,10793,6378,82675,46176,3288036
995,79729,0,16218,14933,6538,90808,77498,1320177
1401,124552,0,11367,14639,3527,71384,44312,1979031
4098,68284,1,14103,2810,8835,124237,30753,7629887
2706,81674,1,17289,10595,3727,151547,23537,4016836
2249,91964,1,5971,8780,5120,107082,93717,3080306
959,68461,1,19972,7986,5114,122747,53804,1526720
4989,109771,0,12408,7546,3592,185083,31856,10252088
1416,95581,1,13308,8845,8661,196625,50957,2100189
4759,40126,1,19210,6689,9170,93465,61675,9398220
3901,68492,0,8847,4274,6497,110931,48073,4462319
2694,129284,1,5436,4227,9719,61327,52981,5412689
1459,51931,0,19646,5017,7529,57428,79287,2419428
2657,98830,1,8287,10089,8775,58294,52782,4611387
893,89414,1,6584,9133,9199,142313,32422,1501681
4132,146802,1,12156,3438,3266,60909,99490,8271112
4558,87969,0,9312,13075,6464,54993,51379,7457400
2677,49938,0,17858,5384,9912,73922,81308,4724171
2366,126461,1,6595,2663,6883,137953,24522,4088373
2299,90993,1,19680,12176,8666,162902,64569,3045900
1004,37729,0,15317,10345,6667,86462,30779,2030868
1219,140220,0,8190,14080,4202,80294,22932,1712708
2487,144945,1,12597,2732,6847,157512,82306,3720013
1374,132347,1,17131,2805,4606,165347,85211,2801365
3378,105738,1,6342,13299,9692,136963,67624,4132924
1133,139089,1,14854,6217,9244,185835,71495,2717280
4877,36951,0,16470,10373,6539,126098,36269,5715070
2920,112172,1,16935,10072,9788,182226,83441,5382729
1824,52084,0,10441,5679,8396,86918,96553,3242533
1508,137708,0,15836,6068,3467,103951,64002,2891661
2833,36296,0,16267,13367,8636,89480,94543,4319260
1639,44026,0,13860,13345,5070,113969,50606,2506441
3720,146812,0,12344,3703,7792,102259,28876,7658673
903,85998,0,12516,10529,7422,133325,35555,1926239
4253,149351,0,10910,8246,9720,110503,27353,6633674
3690,85026,0,15549,13527,3658,71922,24593,4576842
1195,88521,0,10883,14518,8889,72666,55959,2510647
1407,114122,1,15132,7301,6979,148679,45627,2757630
4347,49225,0,8151,8770,9057,160592,21451,5194452
3664,63038,1,9139,9018,3536,94808,84679,4699112
2426,87905,0,12059,5298,5427,89756,52714,3991187
620,125740,0,19264,2727,9063,197996,96075,1383148
3365,115059,1,13644,13763,9122,112253,53263,5159338
4231,40371,0,14199,13212,3849,71791,71230,6251755
4415,146381,0,18017,6958,5173,72999,56100,5480901
4091,137340,1,14414,4937,8790,143390,49161,5594143
4076,123865,1,19003,6023,7537,97465,61983,6500155
4986,123965,0,16471,4013,7924,128710,27580,5612294
2914,75275,0,13080,14188,5091,139861,79588,4268799
1340,99159,1,13385,3833,5708,67295,87409,1998689
3305,116914,0,6035,14290,4382,133198,76001,4233032
3806,94476,0,12097,11691,7294,122172,92973,4704636
3933,93776,0,12556,13593,4676,170679,97468,4877113
1965,39294,1,13015,14129,8843,179790,84455,2719788
2356,30750,0,6149,11099,3652,168403,84387,3541897
2735,54123,1,19683,7667,7403,128975,66495,3396825
903,138863,0,12239,12419,6160,103607,87888,2074204
912,149101,0,13631,8007,6759,171664,68293,1783554
2037,93974,0,13923,14412,7569,164538,34428,3394071
4749,103550,1,9397,12236,9379,94630,46111,6126780
716,72732,1,8655,12885,5272,138782,70560,1745769
1524,124795,1,19684,4010,7455,104492,53666,3200173
3313,142433,0,9216,14110,5471,150247,35145,3783079
1305,81238,0,5785,4249,8110,170101,75762,2606032
3849,74230,1,19323,10855,6125,196607,91885,5057276
3316,78046,1,10419,10519,7762,164028,29119,5558318
3309,42392,1,7602,11040,5382,190311,36662,6582933
1771,84853,0,17495,14876,7994,70693,89610,3710728
933,148553,0,11617,10456,9748,152984,93955,1532407
928,71466,1,9309,3466,9238,93664,92682,2179751
1687,128632,0,6358,10445,3314,50728,76085,2079948
4757,92423,0,15316,11285,3487,109866,99627,9414670
3054,110179,1,14365,14252,8494,55900,46617,5762490
2812,87565,0,19587,7654,5935,80500,32250,5615166
2495,139199,1,15811,13605,8137,116825,66419,3868530
2657,115807,1,5212,3236,9807,167109,29103,5586924
2242,45386,1,12742,12000,9972,61142,82961,4401317
1842,58822,1,9593,2609,5684,138973,35545,2797996
1655,134620,1,19103,12201,6883,75723,63120,2627586
